Links,Text in links
https://en.wikipedia.org/wiki/Chicago_Mercantile_Exchange,Chicago Mercantile Exchange
https://en.wikipedia.org/wiki/Standard_%26_Poor%27s,S&P
https://en.wikipedia.org/wiki/FTSE_100_Index,FTSE
https://en.wikipedia.org/wiki/Euronext,Euronext
https://en.wikipedia.org/wiki/NIFTY_50,NIFTY
https://en.wikipedia.org/wiki/BSE_SENSEX,SENSEX
https://en.wikipedia.org/wiki/Market_capitalization,market capitalization
https://en.wikipedia.org/wiki/Exchange-traded_fund,exchange-traded funds
https://en.wikipedia.org/wiki/Stock_index,stock index
https://en.wikipedia.org/wiki/Stock_option,stock options
https://en.wikipedia.org/wiki/Equity_swap,equity swaps
https://en.wikipedia.org/wiki/Single-stock_futures,single-stock futures
https://en.wikipedia.org/wiki/Futures_contract,futures
https://en.wikipedia.org/wiki/Futures_exchange,futures exchanges
https://en.wikipedia.org/wiki/Commodity,commodity
https://en.wikipedia.org/wiki/Over-the-counter_(finance),over-the-counter
https://en.wikipedia.org/wiki/Derivatives_market,derivatives market
https://en.wikipedia.org/wiki/Short_selling,short selling
https://en.wikipedia.org/wiki/Margin_buying,margin buying
https://en.wikipedia.org/wiki/Naked_shorting,naked shorting
https://en.wikipedia.org/wiki/Federal_Reserve,Federal Reserve
https://en.wikipedia.org/wiki/Crash_of_1929,Crash of 1929
https://en.wikipedia.org/wiki/Investment,investment
https://en.wikipedia.org/wiki/Fundamental_analysis,fundamental analysis
https://en.wikipedia.org/wiki/Technical_analysis,technical analysis
https://en.wikipedia.org/wiki/Fundamental_analysis,Fundamental analysis
https://en.wikipedia.org/wiki/Financial_statement,financial statements
https://en.wikipedia.org/wiki/SEC_filing,SEC filings
https://en.wikipedia.org/wiki/Technical_analysis,Technical analysis
https://en.wikipedia.org/wiki/Trend_following,Trend following
https://en.wikipedia.org/wiki/John_W._Henry,John W. Henry
https://en.wikipedia.org/wiki/Ed_Seykota,Ed Seykota
https://en.wikipedia.org/wiki/Risk_management,risk management
https://en.wikipedia.org/wiki/Diversification_(finance),diversification
https://en.wikipedia.org/wiki/Index_fund,index funds
https://en.wikipedia.org/wiki/S%26P_500_Index,S&P 500 Index
https://en.wikipedia.org/wiki/Wilshire_5000,Wilshire 5000
https://en.wikipedia.org/wiki/Fundamental_analysis,fundamental analysis
https://en.wikipedia.org/wiki/Socially_responsible_investing,Socially responsible investing
https://en.wikipedia.org/wiki/Capital_gains_tax,capital gains tax
